Frame 84: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0211, Triste: 0.0002, Disgustado: 0.0014, Feliz: 0.9769
Frame 85: Sorpresa: 0.0004, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9987
Frame 86: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0000, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9998
Frame 87: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0008, Triste: 0.0000, Disgustado: 0.0002, Feliz: 0.9987
Frame 88: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0000, Triste: 0.0000, Disgustado: 0.0001, Feliz: 0.9998
Frame 89: Sorpresa: 0.0002, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0030, Triste: 0.0003, Disgustado: 0.0020, Feliz: 0.9944
Frame 90: Sorpresa: 0.0003, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0018, Triste: 0.0001, Disgustado: 0.0003, Feliz: 0.9975
Frame 91: Sorpresa: 0.0012, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0041, Triste: 0.0000, Disgustado: 0.0004, Feliz: 0.9943
Frame 92: Sorpresa: 0.0018, Miedo: 0.0001, Enojado: 0.0000, Neutral: 0.0046, Triste: 0.0003, Disgustado: 0.0012, Feliz: 0.9920
Frame 93: Sorpresa: 0.0001, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0016, Triste: 0.0000, Disgustado: 0.0000, Feliz: 0.9982
Frame 94: Sorpresa: 0.0019, Miedo: 0.0001, Enojado: 0.0002, Neutral: 0.0856, Triste: 0.0019, Disgustado: 0.0176, Feliz: 0.8928
Frame 95: Sorpresa: 0.0005, Miedo: 0.0000, Enojado: 0.0000, Neutral: 0.0011, Triste: 0.0001, Disgustado: 0.0005, Feliz: 0.9978
